,コード,銘柄名,規模区分
450,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,TOPIX Mid400
451,9201,日本航空,TOPIX Mid400
452,9202,ＡＮＡホールディングス,TOPIX Large70
453,9301,三菱倉庫,TOPIX Mid400
454,9364,上組,TOPIX Mid400
455,9401,ＴＢＳホールディングス,TOPIX Mid400
456,9404,日本テレビホールディングス,TOPIX Mid400
457,9432,日本電信電話,TOPIX Core30
458,9433,ＫＤＤＩ,TOPIX Core30
459,9434,ソフトバンク,TOPIX Core30
460,9435,光通信,TOPIX Mid400
461,9449,ＧＭＯインターネットグループ,TOPIX Mid400
462,9468,ＫＡＤＯＫＡＷＡ,TOPIX Mid400
463,9501,東京電力ホールディングス,TOPIX Mid400
464,9502,中部電力,TOPIX Mid400
465,9503,関西電力,TOPIX Mid400
466,9504,中国電力,TOPIX Mid400
467,9505,北陸電力,TOPIX Mid400
468,9506,東北電力,TOPIX Mid400
469,9507,四国電力,TOPIX Mid400
470,9508,九州電力,TOPIX Mid400
471,9509,北海道電力,TOPIX Mid400
472,9513,電源開発,TOPIX Mid400
473,9531,東京瓦斯,TOPIX Mid400
474,9532,大阪瓦斯,TOPIX Mid400
475,9533,東邦瓦斯,TOPIX Mid400
476,9601,松竹,TOPIX Mid400
477,9602,東宝,TOPIX Mid400
478,9613,エヌ・ティ・ティ・データ,TOPIX Mid400
479,9616,共立メンテナンス,TOPIX Mid400
480,9627,アインホールディングス,TOPIX Mid400
481,9684,スクウェア・エニックス・ホールディングス,TOPIX Mid400
482,9697,カプコン,TOPIX Mid400
483,9706,日本空港ビルデング,TOPIX Mid400
484,9719,ＳＣＳＫ,TOPIX Mid400
485,9735,セコム,TOPIX Large70
486,9744,メイテック,TOPIX Mid400
487,9766,コナミグループ,TOPIX Mid400
488,9783,ベネッセホールディングス,TOPIX Mid400
489,9831,ヤマダホールディングス,TOPIX Mid400
490,9832,オートバックスセブン,TOPIX Mid400
491,9843,ニトリホールディングス,TOPIX Large70
492,9861,吉野家ホールディングス,TOPIX Mid400
493,9962,ミスミグループ本社,TOPIX Mid400
494,9983,ファーストリテイリング,TOPIX Large70
495,9984,ソフトバンクグループ,TOPIX Core30
496,9987,スズケン,TOPIX Mid400
497,9989,サンドラッグ,TOPIX Mid400
